Team,deepplays,shortplays,rushingplays
ARI,96,470,479
ATL,129,497,408
BAL,78,324,555
BUF,109,486,411
CAR,103,444,405
CHI,119,492,392
CIN,107,469,409
CLE,97,399,494
DAL,97,537,427
DEN,119,434,441
DET,111,462,366
GNB,101,422,443
HOU,104,439,344
IND,94,453,459
JAN,112,501,337
KAN,104,524,403
LAC,110,513,465
LAR,79,484,456
LVR,98,448,455
MIA,87,468,425
MIN,97,416,468
NOR,76,444,494
NWE,66,372,502
NYG,78,405,379
NYJ,106,390,406
PHI,121,474,403
PIT,108,548,373
SEA,94,468,410
SFO,75,494,437
TAM,134,485,369
TEN,66,417,520
WAS,85,514,400
