Tm,G,Plays,ToGo,Yds,1st%,TO%,TD,FG,Int,Fmb,Sk,Pass
PIT,16,548,8.5,5.5,31.00%,1.60%,23,0,6,3,0,548
DAL,16,537,8.5,6.2,35.80%,2.20%,18,0,9,3,0,537
KAN,16,524,8.5,7.1,41.20%,1.50%,26,0,4,4,0,524
WAS,16,514,8.8,5.8,30.40%,2.70%,11,0,10,4,0,514
LAC,16,513,8.6,6.1,35.30%,1.20%,19,0,4,2,0,513
JAX,16,501,8.5,5.6,32.70%,1.60%,17,0,7,1,0,501
ATL,16,497,8.4,6,36.60%,1.40%,19,0,5,2,0,497
SFO,16,494,9,6.6,37.00%,2.40%,23,0,12,0,0,494
CHI,16,492,8.4,5.9,36.40%,1.40%,21,0,4,3,0,492
BUF,16,486,8.9,6.8,38.90%,1.20%,27,0,4,2,0,486
TAM,16,485,8.5,6,37.30%,1.40%,29,0,4,3,0,485
LAR,16,484,8.6,6.7,35.10%,2.90%,16,0,11,3,0,484
PHI,16,474,8.9,5.2,29.10%,1.90%,13,0,9,0,0,474
ARI,16,470,8.9,6.1,37.70%,2.30%,19,0,8,3,0,470
CIN,16,469,8.9,6.3,36.50%,1.90%,17,0,6,3,0,469
MIA,16,468,8.3,6.1,35.30%,1.70%,20,0,7,1,0,468
SEA,16,468,8.5,6.5,38.50%,1.70%,27,0,8,0,0,468
DET,16,462,8.7,6.4,36.60%,2.20%,19,0,10,0,0,462
IND,16,453,9.2,6.7,34.70%,1.50%,19,0,5,2,0,453
LVR,16,448,8.3,6.4,36.20%,2.50%,15,0,7,4,0,448
CAR,16,444,8.8,6,32.70%,2.30%,12,0,9,1,0,444
NOR,16,444,8.7,6.3,34.20%,1.60%,21,0,6,1,0,444
HOU,16,439,8.6,7.3,37.60%,1.10%,18,0,2,3,0,439
DEN,16,434,8.9,5.5,30.60%,3.50%,14,0,12,3,0,434
GNB,16,422,8.3,6.7,41.20%,1.40%,35,0,4,2,0,422
TEN,16,417,8.5,6.7,40.30%,1.70%,26,0,5,2,0,417
MIN,16,416,8.8,6.8,38.70%,2.20%,26,0,7,2,0,416
NYG,16,405,9.2,5.2,31.90%,2.20%,6,0,9,0,0,405
CLE,16,399,8.5,6.1,38.10%,1.50%,20,0,4,2,0,399
NYJ,16,390,8.8,5.7,29.20%,2.60%,8,0,8,2,0,390
NWE,16,372,8.9,6.2,34.10%,3.50%,9,0,11,2,0,372
BAL,16,324,9.2,6.2,34.30%,2.20%,16,0,7,0,0,324
