basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2008.01,1123,Y1e,Hakuho,Miyagino,Mongolia,1985-03-11,192,152.9,Y1e,12,3
2008.01,878,Y1w,Asashoryu,Takasago,Mongolia,1980-09-27,184,148,Y1w,0,0
2008.01,8,O1e,Chiyotaikai,Kokonoe,Oita,1976-04-29,181,158.5,O1w,11,4
2008.01,876,O1w,Kotomitsuki,Sadogatake,Aichi,1976-04-11,182,154,O1e,10,5
2008.01,7,O2e,Kaio,Tomozuna,Fukuoka,1972-07-24,184.5,172.7,O2w,9,6
2008.01,2830,O2w,Kotooshu,Sadogatake,Bulgaria,1983-02-19,203,145.5,O2e,2,5
2008.01,89,S1e,Aminishiki,Isegahama,Aomori,1978-10-03,185,136,S1e,8,7
2008.01,1111,S1w,Ama,Isegahama,Mongolia,1984-04-14,186,124,K1e,10,5
2008.01,1226,K1e,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,180,150.5,K1w,9,6
2008.01,31,K1w,Dejima,Musashigawa,Ishikawa,1974-03-21,180,156.5,M2w,10,5
2008.01,1235,M1e,Kisenosato,Naruto,Ibaraki,1986-07-03,186,160,M2e,9,6
2008.01,2818,M1w,Tokitenku,Tokitsukaze,Mongolia,1979-09-10,187,148,M3w,9,6
2008.01,1227,M2e,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,170,135.4,M4e,9,6
2008.01,842,M2w,Miyabiyama,Musashigawa,Ibaraki,1977-07-28,188,181.5,M1w,7,8
2008.01,6468,M3e,Goeido,Sakaigawa,Osaka,1986-04-06,182,134.2,M6w,8,7
2008.01,10,M3w,Tochinonada,Kasugano,Ishikawa,1974-02-26,187,163,M7w,8,7
2008.01,39,M4e,Wakanosato,Naruto,Aomori,1976-07-10,184,153.8,M8e,8,7
2008.01,1009,M4w,Asasekiryu,Takasago,Mongolia,1981-08-07,184.5,136,S1w,3,12
2008.01,1421,M5e,Roho,Otake,Russia,1980-03-09,195,153,M12e,10,5
2008.01,17,M5w,Tamakasuga,Kataonami,Ehime,1972-01-07,182,154.5,M9e,8,7
2008.01,6432,M6e,Baruto,Onoe,Estonia,1984-11-05,197,174,M16e,11,4
2008.01,135,M6w,Hokutoriki,Hakkaku,Tochigi,1977-10-31,182.5,148,M10e,8,7
2008.01,1284,M7e,Takekaze,Oguruma,Akita,1979-06-21,171,138.5,M5e,6,9
2008.01,6018,M7w,Homasho,Shikoroyama,Yamaguchi,1981-04-16,187,146,M1e,3,12
2008.01,1219,M8e,Kakuryu,Izutsu,Mongolia,1985-08-10,187,132.4,M3e,4,11
2008.01,6467,M8w,Toyohibiki,Sakaigawa,Yamaguchi,1984-11-16,183.5,172,M7e,7,8
2008.01,1187,M9e,Kokkai,Oitekaze,Georgia,1981-03-10,189,153,M13e,9,6
2008.01,924,M9w,Wakakirin,Oguruma,Hyogo,1983-09-21,185.5,125.2,M15w,10,5
2008.01,6527,M10e,Wakanoho,Magaki,Russia,1988-07-08,195,152,M13w,9,6
2008.01,41,M10w,Kyokutenho,Oshima,Mongolia,1974-09-13,192,155,M4w,4,11
2008.01,1204,M11e,Kakizoe,Musashigawa,Oita,1978-08-12,178,138,M14e,9,6
2008.01,865,M11w,Kasugao,Kasugayama,Korea,1977-07-01,184,150,M5w,4,11
