basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2019.01,1235,Y1e,Kisenosato,Tagonoura,Ibaraki,1986-07-03,188,177,Y2e,0,5
2019.01,1123,Y1w,Hakuho,Miyagino,Mongolia,1985-03-11,193,150.7,Y1e,0,0
2019.01,1219,Y2e,Kakuryu,Izutsu,Mongolia,1985-08-10,186,150,Y1w,0,0
2019.01,6480,O1e,Takayasu,Tagonoura,Ibaraki,1990-02-28,187,163,O1w,12,3
2019.01,6468,O1w,Goeido,Sakaigawa,Osaka,1986-04-06,183,158.2,O1e,8,4
2019.01,6599,O2w,Tochinoshin,Kasugano,Georgia,1987-10-13,192,162,O2w,8,7
2019.01,12191,S1e,Takakeisho,Chiganoura,Hyogo,1996-08-05,173,149,K1e,13,2
2019.01,5944,S1w,Tamawashi,Kataonami,Mongolia,1984-11-16,190,161,M2w,9,6
2019.01,11784,K1e,Myogiryu,Sakaigawa,Hyogo,1986-10-22,187,148,M1e,8,7
2019.01,12210,K1w,Mitakeumi,Dewanoumi,Nagano,1992-12-25,179,149,S1e,7,8
2019.01,6473,M1e,Tochiozan,Kasugano,Kochi,1987-03-09,189,154,M2e,8,7
2019.01,12107,M1w,Ichinojo,Minato,Mongolia,1993-04-07,190,183,S1w,6,9
2019.01,6596,M2e,Nishikigi,Isenoumi,Iwate,1990-08-25,184.5,149.5,M3e,8,7
2019.01,12239,M2w,Hokutofuji,Hakkaku,Saitama,1992-07-15,182,158,M1w,7,8
2019.01,12130,M3e,Shodai,Tokitsukaze,Kumamoto,1991-11-05,182,150,M4e,8,7
2019.01,6614,M3w,Shohozan,Nishonoseki,Fukuoka,1984-02-09,177,134.5,M7w,10,5
2019.01,1226,M4e,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,180,177,M9e,10,5
2019.01,6463,M4w,Okinoumi,Hakkaku,Shimane,1985-07-29,190,154,M11w,11,4
2019.01,11786,M5e,Aoiyama,Kasugano,Bulgaria,1986-06-19,192,192.6,M12e,11,4
2019.01,5967,M5w,Yoshikaze,Oguruma,Oita,1982-03-19,175,140.3,M4w,7,8
2019.01,11934,M6e,Chiyotairyu,Kokonoe,Tokyo,1988-11-14,182,166.8,M5e,7,8
2019.01,12043,M6w,Onosho,Onomatsu,Aomori,1996-07-04,176,148.5,M13e,11,4
2019.01,6594,M7e,Ryuden,Takadagawa,Yamanashi,1990-11-10,192,145,M3w,6,9
2019.01,11985,M7w,Daieisho,Oitekaze,Saitama,1993-11-10,179,135.7,M9w,9,6
2019.01,6753,M8e,Kaisei,Tomozuna,Brazil,1986-12-18,195,187.8,K1w,3,9
2019.01,12291,M8w,Asanoyama,Takasago,Toyama,1994-03-01,189,158,M5w,6,9
2019.01,11724,M9e,Takanoiwa,Chiganoura,Mongolia,1990-02-26,181,145.5,M6e,6,9
2019.01,12055,M9w,Endo,Oitekaze,Ishikawa,1990-10-19,183,145.6,M12w,9,6
2019.01,11728,M10e,Takarafuji,Isegahama,Aomori,1987-02-18,186,161.1,M8w,7,8
2019.01,12094,M10w,Abi,Shikoroyama,Saitama,1994-05-04,185,121,M7e,6,9
2019.01,2879,M11e,Sadanoumi,Sakaigawa,Kumamoto,1987-05-11,184,131.2,M10e,7,8
2019.01,6491,M11w,Ikioi,Isenoumi,Osaka,1986-10-11,194,157,M8e,6,9
2019.01,11845,M12e,Kagayaki,Takadagawa,Ishikawa,1994-06-01,193,144.3,M6w,5,10
2019.01,11946,M12w,Meisei,Tatsunami,Kagoshima,1995-07-24,180,120,M15w,9,6
2019.01,12425,M13e,Yago,Oguruma,Hokkaido,1994-07-08,187,172,J1e,10,5
2019.01,9079,M13w,Kotoyuki,Sadogatake,Kagawa,1991-04-02,176,162.4,J3e,10,5
2019.01,12292,M14e,Yutakayama,Tokitsukaze,Niigata,1993-09-22,185,171,M10w,5,10
2019.01,11785,M14w,Chiyoshoma,Kokonoe,Mongolia,1991-07-20,183,118.2,M14e,7,8
2019.01,6642,M15e,Chiyonokuni,Kokonoe,Mie,1990-07-10,184,143.8,M11e,5,10
2019.01,7153,M15w,Kotoeko,Sadogatake,Miyazaki,1991-11-20,175.5,111.6,J1w,8,7
2019.01,12273,M16e,Daiamami,Oitekaze,Kagoshima,1992-12-15,185,167,M15e,7,8
2019.01,12144,M16w,Daishomaru,Oitekaze,Osaka,1991-07-10,175,153,M14w,6,9
2019.01,11868,J1e,Terutsuyoshi,Isegahama,Hyogo,1995-01-17,169,112,J5w,10,5
2019.01,12040,J1w,Daishoho,Oitekaze,Mongolia,1994-08-28,182,140,J2e,8,7
2019.01,12077,J2e,Takagenji,Chiganoura,Tochigi,1997-05-13,186,126.2,J4e,8,7
2019.01,11855,J2w,Takanosho,Chiganoura,Chiba,1994-11-14,181.5,128.5,M13w,4,11
2019.01,89,J3e,Aminishiki,Isegahama,Aomori,1978-10-03,186,152,J2w,7,8
2019.01,12051,J3w,Ishiura,Miyagino,Tottori,1990-01-10,173,103.6,J5e,8,7
2019.01,12427,J4e,Tomokaze,Oguruma,Kanagawa,1994-12-02,183,168,J14w,12,3
2019.01,11726,J4w,Tokushoryu,Kise,Nara,1986-08-22,182,170.6,J3w,7,8
2019.01,12370,J5e,Wakatakakage,Arashio,Fukushima,1994-12-06,180,115,J6w,8,7
2019.01,1227,J5w,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,169,149.4,J13e,11,4
2019.01,11943,J6e,Hakuyozan,Takadagawa,Yamagata,1995-04-13,185,145.8,J7w,8,7
2019.01,7240,J6w,Chiyomaru,Kokonoe,Kagoshima,1991-04-17,178,176.3,M16w,4,11
2019.01,11723,J7e,Azumaryu,Tamanoi,Mongolia,1987-05-12,192,147.2,J10e,9,6
2019.01,8900,J7w,Akiseyama,Kise,Aichi,1985-07-18,183,172.6,J6e,7,8
