basho,rank,rikishi,heya,shusshin,height,weight,prev,prev_w,prev_l
2019.01,Y1e,Kisenosato,Tagonoura,Ibaraki,188,177,Y2e,0,5
2019.01,Y1e,Hakuho,Miyagino,Mongolia,193,150.7,Y1e,0,0
2019.01,Y1e,Kakuryu,Izutsu,Mongolia,186,150,Y1w,0,0
2019.01,Y1e,Takayasu,Tagonoura,Ibaraki,187,163,O1w,12,3
2019.01,Y1e,Goeido,Sakaigawa,Osaka,183,158.2,O1e,8,4
2019.01,Y1e,Tochinoshin,Kasugano,Georgia,192,162,O2w,8,7
2019.01,Y1e,Takakeisho,Chiganoura,Hyogo,173,149,K1e,13,2
2019.01,Y1e,Tamawashi,Kataonami,Mongolia,190,161,M2w,9,6
2019.01,Y1e,Myogiryu,Sakaigawa,Hyogo,187,148,M1e,8,7
2019.01,Y1e,Mitakeumi,Dewanoumi,Nagano,179,149,S1e,7,8
2019.01,Y1e,Tochiozan,Kasugano,Kochi,189,154,M2e,8,7
2019.01,Y1e,Ichinojo,Minato,Mongolia,190,183,S1w,6,9
2019.01,Y1e,Nishikigi,Isenoumi,Iwate,184.5,149.5,M3e,8,7
2019.01,Y1e,Hokutofuji,Hakkaku,Saitama,182,158,M1w,7,8
2019.01,Y1e,Shodai,Tokitsukaze,Kumamoto,182,150,M4e,8,7
2019.01,Y1e,Shohozan,Nishonoseki,Fukuoka,177,134.5,M7w,10,5
2019.01,Y1e,Kotoshogiku,Sadogatake,Fukuoka,180,177,M9e,10,5
2019.01,Y1e,Okinoumi,Hakkaku,Shimane,190,154,M11w,11,4
2019.01,Y1e,Aoiyama,Kasugano,Bulgaria,192,192.6,M12e,11,4
2019.01,Y1e,Yoshikaze,Oguruma,Oita,175,140.3,M4w,7,8
2019.01,Y1e,Chiyotairyu,Kokonoe,Tokyo,182,166.8,M5e,7,8
2019.01,Y1e,Onosho,Onomatsu,Aomori,176,148.5,M13e,11,4
2019.01,Y1e,Ryuden,Takadagawa,Yamanashi,192,145,M3w,6,9
2019.01,Y1e,Daieisho,Oitekaze,Saitama,179,135.7,M9w,9,6
2019.01,Y1e,Kaisei,Tomozuna,Brazil,195,187.8,K1w,3,9
2019.01,Y1e,Asanoyama,Takasago,Toyama,189,158,M5w,6,9
2019.01,Y1e,Takanoiwa,Chiganoura,Mongolia,181,145.5,M6e,6,9
2019.01,Y1e,Endo,Oitekaze,Ishikawa,183,145.6,M12w,9,6
2019.01,Y1e,Takarafuji,Isegahama,Aomori,186,161.1,M8w,7,8
2019.01,Y1e,Abi,Shikoroyama,Saitama,185,121,M7e,6,9
