basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2013.01,1123,Y1e,Hakuho,Miyagino,Mongolia,1985-03-11,192,154,Y1e,14,1
2013.01,1111,Y1w,Harumafuji,Isegahama,Mongolia,1984-04-14,186,133,Y1w,9,6
2013.01,1235,O1e,Kisenosato,Naruto,Ibaraki,1986-07-03,188,176,O1w,10,5
2013.01,1219,O1w,Kakuryu,Izutsu,Mongolia,1985-08-10,186,146,O1e,9,6
2013.01,2830,O2e,Kotooshu,Sadogatake,Bulgaria,1983-02-19,202,157,O2w,9,6
2013.01,1226,O2w,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,180,177,O2e,8,7
2013.01,6468,S1e,Goeido,Sakaigawa,Osaka,1986-04-06,183,152,S1w,11,4
2013.01,6432,S1w,Baruto,Onoe,Estonia,1984-11-05,197,193,O3e,1,2
2013.01,6473,K1e,Tochiozan,Kasugano,Kochi,1987-03-09,188,152,M1w,10,5
2013.01,6614,K1w,Shohozan,Matsugane,Fukuoka,1984-02-09,177,138,M2e,10,5
2013.01,89,M1e,Aminishiki,Isegahama,Aomori,1978-10-03,186,152,K1e,7,8
2013.01,11784,M1w,Myogiryu,Sakaigawa,Hyogo,1986-10-22,187,145,S1e,6,9
2013.01,1227,M2e,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,168,145,M6w,11,4
2013.01,41,M2w,Kyokutenho,Tomozuna,Mongolia,1974-09-13,191,160,M6e,10,5
2013.01,6467,M3e,Toyohibiki,Sakaigawa,Yamaguchi,1984-11-16,185,182,M5w,9,6
2013.01,6753,M3w,Kaisei,Tomozuna,Brazil,1986-12-18,194,186,M2w,7,8
2013.01,6572,M4e,Gagamaru,Kise,Georgia,1987-02-23,188,212,M7e,8,7
2013.01,6771,M4w,Aran,Mihogaseki,Russia,1984-01-31,186,147,M7w,8,7
2013.01,6018,M5e,Homasho,Shikoroyama,Yamaguchi,1981-04-16,185,149,K1w,4,11
2013.01,6491,M5w,Ikioi,Isenoumi,Osaka,1986-10-11,193,146,M10e,9,6
2013.01,6599,M6e,Tochinoshin,Kasugano,Georgia,1987-10-13,192,162,M3e,5,10
2013.01,11786,M6w,Aoiyama,Kasugano,Bulgaria,1986-06-19,191,187,M5e,6,3
